domain_id	domain_name	domain_concept_id
Cost	Cost	581456
Condition/Device	Condition/Device	235
Gender	Gender	2
Race	Race	3
Ethnicity	Ethnicity	4
Metadata	Metadata	7
Visit	Visit	8
Procedure	Procedure	10
Modifier	Modifier	12
Drug	Drug	13
Route	Route Of Administration	15
Unit	Unit	16
Device	Device	17
Condition	Condition	19
Measurement	Measurement	21
Meas Value Operator	Measurement Value Operator	23
Meas Value	Measurement Value	24
Observation	Observation	27
Relationship	Relationship	31
Place of Service	Place of Service	32
Currency	Currency	34
Revenue Code	Revenue Code	35
Specimen	Specimen	36
Spec Anatomic Site	Specimen Anatomic Site	38
Spec Disease Status	Specimen Disease Status	39
Device/Procedure	Device/Procedure	41
Obs/Procedure	Observation/Procedure	42
